"","variable","value.x","value.y","value"
"1","out-of sample MSE","0.764874","0.718888","0.732005"
"2","Emp: mfg.lag1","0.020903",NA,NA
"3","Emp: DurGoods.lag1","0.062215","0.110647","0.181476"
"4","D.PCED.lag1","0.048958","0.334267","0.333037"
"5","D.BusSec Defl.lag1","0.012521","0.008826","0.080172"
"6","D.PCED_FoodServ_Acc..lag1","0.193987","0.174955",NA
"7","D.CPI.lag1","0.161059",NA,NA
"8","D.PPI:FinGds.lag1","0.122959",NA,NA
"9","D.PPI:IntMat.lag1","0.030214",NA,NA
"10","D.PCED_FoodServ_Acc..lag3","0.006393",NA,NA
"11","D.CPI.lag3","0.12543",NA,NA
"12","D.PPI:FinConsGds(Food).lag4","0.006264","0.028873",NA
"13","D.CPI_LFE.lag1",NA,"0.000177",NA
"14","NAPM com price.lag1",NA,"0.009892","0.039574"
"15","D.PCED.lag2",NA,"0.041121","0.090784"
"16","D.GPDI Defl.lag2",NA,"0.022028",NA
"17","D.PCED.lag3",NA,"0.015523","0.062173"
"18","D.PCED_Food_Bev.lag3",NA,"0.020161",NA
